Колко кости имаме в ушите:,3,4,16,1
Кой е бил бога на слънцето на древните гърци:,Аполо,Зевс,Ра,Посейдон
Кратос е главният герой на:,God of War,Minecraft,Assasin's Creed,Roblox
Кое е най-гледаното шоу в Нетфликс за 2021:,Squid Games,Breaking Bad,One Piece,Stranger Things
Кой производител на коли прави модела 911:,Porsche,BMW,Opel,Ferrari
Коя планета има най-много естествени спътници:,Сатурн,Земята,Уран,Марс
Коя е най-горещата планета в Слънчевата система:,Венера,Меркурий,Марс,Сатурн
Кой е най-слушаният певец в Spotify:,Дрейк,Еминем,Джъстин Бийбър,Адел
Коя компания се е казвала "Blue Ribbons Sport" в началото:,Найк,Адидас,Пума,Интел
Коя държава е спечелила 4 световни първенства:,Италия,Бразилия,Англия,Аржентина
